,Location,Price,Apt Type,Num of Bath,Neighborhood,District
6090,West 68 Street,"4,900",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
6091,East 58th Street,"4,495",2 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
6092,"11 West 8th Street, Apt 5B","4,950",1 Bed,1,Greenwich Village, Downtown Manhattan
6093,West 38th Street,"3,811",1 Bed,1,"Garment District, Hudson Yards", Midtown Manhattan
6094,13th Street/1st ave,"4,195",2 Bed,1,East Village, Downtown Manhattan
6095,"East 8th Street NY, NY","4,495",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
6096,West 38th Street,"3,811",1 Bed,1,"Garment District, Hudson Yards", Midtown Manhattan
6097,East 46th Street,"3,850",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
6098,East 51st Street,"3,850",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
6099,West 22nd Street,"2,850",Studio,1,Chelsea, Midtown Manhattan
6100,Hanover Square,"4,966",1 Bed,1,Financial District, Downtown Manhattan
6101,Water Street,"7,328",3 Bed,3,Financial District, Downtown Manhattan
6102,West 11th Street,"4,800",2 Bed,1,West Village, Downtown Manhattan
6103,Fourth Avenue,"4,050",Studio,1,Greenwich Village, Downtown Manhattan
6104,East 24th Street,"3,150",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
6105,East 2 Street,"3,550",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
6106,Jones Street,"3,600",1 Bed,1,West Village, Downtown Manhattan
6107,Washington Street,"2,800",Studio,1,Financial District, Downtown Manhattan
6108,West 86th Street,"2,513",Studio,1,Upper West Side, Upper Manhattan
6109,Mott Street & Prince St *NO-FE...,"4,395",1 Bed,1,NoLita, Downtown Manhattan
6110,East 24th Street,"3,150",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
6111,East 116th Street,"2,995",2 Bed,1,"East Harlem, Harlem", Upper Manhattan
6112,East 80 Street,"2,450",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
6113,East 8 Street,"4,295",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
6114,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
6115,East 39th Street,"4,295",1 Bed,1,Murray Hill, Midtown Manhattan
6116,West 37th Street,"4,250","1 Bed
/ Flex 2",1,"Garment District, Hudson Yards", Midtown Manhattan
6117,West 39th Street,"3,895","1 Bed
/ Flex 2",1,"Garment District, Hudson Yards", Midtown Manhattan
6118,East 85th Street,"2,300",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
6119,East 13th Street & 3rd Ave *NO...,"5,195",3 Bed,1,East Village, Downtown Manhattan
6120,East 37th Street,"4,385",2 Bed,1,Murray Hill, Midtown Manhattan
6121,West 21st Street,"6,495","2 Bed
/ Flex 3",2,Chelsea, Midtown Manhattan
6122,West 180th Street,"3,395",3 Bed,2,"Hudson Heights, Washington Heights", Upper Manhattan
6123,"32 West 131st Street, Apt 4R","2,800",3 Bed,1,"Central Harlem, Harlem", Upper Manhattan
6124,East 13th Street & 1st Avenue ...,"5,195",3 Bed,1,East Village, Downtown Manhattan
6125,Haven Avenue,"2,400",2 Bed,1,Washington Heights, Upper Manhattan
6126,East 7th Street,"8,050",3 Bed,2,East Village, Downtown Manhattan
6127,East 54th Street,"5,885",1 Bed,1,Midtown East, Midtown Manhattan
6128,10th Avenue,"4,200",1 Bed,1,Hudson Yards, Midtown Manhattan
6129,East 46th Street,"5,195",1 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
6130,200 Water Street,"4,250",1 Bed,1,Financial District, Downtown Manhattan
6131,East 80 Street,"2,450",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
6132,Broadway & W 151st ST,"3,245",2 Bed,1,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
6133,Wall Street,"3,398",Studio,1,Financial District, Downtown Manhattan
6134,East 49th Street,"4,100",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
6135,West 91st Street,"6,150",2 Bed,2,Upper West Side, Upper Manhattan
6136,"695 1st Avenue, Apt 14Q","6,150",1 Bed,1,Murray Hill, Midtown Manhattan
6137,Wall Street,"3,340",Studio,1,Financial District, Downtown Manhattan
6138,East 80th Street,"2,521",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
6139,East 80th Street,"2,275",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
6140,355 East 4th Street,"1,650",Private Room,1,"Alphabet City, East Village", Downtown Manhattan
6141,304 East 83rd Street,"3,650",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
6142,West 37th Street,"3,208",Studio,1,Hudson Yards, Midtown Manhattan
6143,East 44th Street,"5,475",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
6144,East 29th street,"13,000",3 Bed,3,NoMad, Midtown Manhattan
6145,"140 Riverside Boulevard, Apt 1...","4,800",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
6146,223 East 96th Street,"3,200",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
6147,Amsterdam Avenue & W 101st Str...,"3,300",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
6148,East 89th Street,"2,800",1 Bed,1,"Carnegie Hill, Upper East Side", Upper Manhattan
6149,East 80th Street,"1,950",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
6150,"124 West 60th Street, Apt 35D","7,100",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
6151,West 50th Street,"7,795",3 Bed,2,Hell's Kitchen, Midtown Manhattan
6152,"2 Gold Street, Apt 2412","3,666",1 Bed,1,Financial District, Downtown Manhattan
6153,Sixth Avenue,"4,400","1 Bed
/ Flex 3",1,Midtown South, Midtown Manhattan
6154,East 80 Street,"2,850",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
6155,East 11th Street,"2,800",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
6156,East 29th Street,"4,355",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
6157,"626 1st Avenue, Apt #W48B","15,058",2 Bed,2.5,Murray Hill, Midtown Manhattan
6158,West 26th Street,"6,175",1 Bed,1,Chelsea, Midtown Manhattan
6159,Water Street,"3,350",Studio,1,Financial District, Downtown Manhattan
6160,"East 3rd st, East Village","1,749",Private Room,1,"Alphabet City, East Village", Downtown Manhattan
6161,Maiden Lane,"3,250",Studio,1,Financial District, Downtown Manhattan
6162,Prince Street,"4,395",1 Bed,1,NoLita, Downtown Manhattan
6163,Wall Street,"3,626",Studio,1,Financial District, Downtown Manhattan
